date,temperature,temperature_min,temperature_max,humidity,precipitation,wind_speed,pressure,cloud_cover
2025-01-01,2.9,0.5,6.3,85.0,0.0,15.7,1025.6,3.0
2025-01-02,4.2,0.7,8.4,86.0,0.0,21.0,1018.0,0.0
2025-01-03,5.5,4.0,7.8,83.0,0.3,18.7,1010.6,6.0
2025-01-04,0.8,-2.4,4.0,78.0,1.6,15.8,1013.1,4.0
2025-01-05,-3.3,-5.0,0.0,74.0,0.0,10.5,1023.9,0.0
2025-01-06,0.2,-4.8,3.9,88.0,1.6,19.8,1021.3,7.0
2025-01-07,6.0,3.2,9.4,91.0,0.0,19.4,1019.0,6.0
2025-01-08,9.2,7.4,12.3,93.0,0.7,20.5,1015.7,7.0
2025-01-09,7.8,5.8,11.2,88.0,0.0,12.7,1017.9,4.0
2025-01-10,7.4,5.0,11.3,89.0,0.0,17.2,1015.6,7.0
2025-01-11,5.0,1.3,8.2,85.0,2.7,14.9,1012.5,8.0
2025-01-12,0.5,-1.4,3.2,78.0,0.5,5.2,1020.6,6.0
2025-01-13,-1.3,-3.0,2.8,88.0,0.1,7.0,1027.9,4.0
2025-01-14,-1.8,-3.3,0.6,73.0,0.0,12.2,1032.5,6.0
2025-01-15,-2.5,-4.3,1.9,76.0,0.0,13.2,1025.6,2.0
2025-01-16,0.5,-3.8,3.4,80.0,0.0,11.9,1029.0,7.0
2025-01-17,1.4,0.0,2.6,89.0,0.3,17.1,1026.7,8.0
2025-01-18,1.7,0.9,2.8,93.0,0.6,16.1,1021.9,8.0
2025-01-19,2.2,-0.9,4.7,76.0,0.0,20.3,1018.8,6.0
2025-01-20,0.7,-2.3,5.6,85.0,0.0,12.4,1023.6,3.0
2025-01-21,0.9,0.1,2.4,84.0,0.0,10.2,1027.3,8.0
2025-01-22,1.1,0.2,2.4,82.0,0.0,15.7,1024.2,8.0
2025-01-23,1.4,0.3,3.5,87.0,0.9,12.3,1019.9,8.0
2025-01-24,2.2,0.6,5.0,98.0,0.0,7.2,1020.2,8.0
2025-01-25,3.8,1.8,6.8,97.0,0.5,9.2,1024.0,8.0
2025-01-26,4.9,2.8,7.7,92.0,0.2,14.1,1028.1,8.0
2025-01-27,4.5,2.3,9.4,90.0,0.0,14.8,1024.7,7.0
2025-01-28,6.3,4.5,9.1,90.0,0.0,14.4,1020.9,8.0
2025-01-29,7.0,5.1,11.6,89.0,0.0,16.4,1020.6,5.0
2025-01-30,8.0,6.3,10.5,91.0,0.0,7.4,1024.7,8.0
2025-01-31,7.6,6.2,10.1,88.0,0.0,7.1,1026.0,8.0
2025-02-01,6.2,3.4,6.8,93.0,4.7,11.8,1024.2,8.0
2025-02-02,2.0,-1.6,5.5,75.0,0.0,10.6,1025.3,4.0
2025-02-03,0.5,-0.9,1.6,91.0,3.9,7.8,1020.6,8.0
2025-02-04,-1.0,-3.4,2.2,79.0,0.1,14.6,1022.9,5.0
2025-02-05,-1.8,-5.6,1.1,77.0,0.5,9.4,1026.1,5.0
2025-02-06,-3.6,-5.9,-1.1,86.0,0.0,16.4,1033.3,6.0
2025-02-07,-4.1,-6.9,-2.3,79.0,0.0,22.1,1040.0,8.0
2025-02-08,-4.7,-6.5,-2.4,75.0,0.0,20.3,1042.9,4.0
2025-02-09,-5.8,-7.8,-2.6,74.0,0.0,18.6,1038.6,3.0
2025-02-10,-6.9,-8.8,-4.1,71.0,0.0,14.0,1034.0,3.0
2025-02-11,-5.4,-8.0,-3.2,70.0,0.0,14.7,1036.0,4.0
2025-02-12,-5.7,-7.6,-2.9,76.0,0.0,11.4,1034.1,6.0
2025-02-13,-4.0,-7.6,0.3,72.0,0.0,5.6,1027.5,2.0
2025-02-14,-0.5,-5.3,4.8,81.0,0.0,15.5,1020.5,6.0
2025-02-15,-1.3,-6.2,2.6,85.0,10.5,21.7,1013.9,8.0
2025-02-16,-6.1,-9.3,-3.1,71.0,0.0,11.6,1020.7,7.0
2025-02-17,-6.4,-12.5,-3.3,81.0,0.4,6.4,1025.9,7.0
2025-02-18,-8.7,-12.5,-3.7,81.0,0.0,7.3,1029.5,2.0
2025-02-19,-8.8,-13.4,-2.9,73.0,0.0,5.4,1030.3,2.0
2025-02-20,-5.9,-11.5,0.1,73.0,1.6,11.9,1030.7,5.0
2025-02-21,-7.4,-9.4,-4.4,78.0,0.9,14.2,1036.8,3.0
2025-02-22,-9.1,-11.2,-6.7,81.0,0.0,13.4,1038.5,5.0
2025-02-23,-7.2,-11.1,-3.4,75.0,0.0,17.3,1032.6,6.0
2025-02-24,-4.6,-7.0,-0.3,67.0,0.0,17.3,1026.7,4.0
2025-02-25,-7.3,-10.5,-4.6,71.0,0.0,11.2,1024.1,5.0
2025-02-26,-6.8,-10.0,-2.0,74.0,0.0,7.7,1026.6,7.0
2025-02-27,-4.5,-9.7,1.0,75.0,0.0,4.6,1029.4,2.0
2025-02-28,-3.1,-9.4,3.4,66.0,0.0,8.7,1028.5,0.0
2025-03-01,-2.3,-5.5,2.1,68.0,0.0,10.4,1030.7,8.0
2025-03-02,-0.9,-2.6,1.7,66.0,0.1,7.7,1025.8,8.0
2025-03-03,0.6,-4.6,5.7,75.0,0.0,11.5,1021.9,6.0
2025-03-04,2.7,-0.2,6.4,75.0,0.0,20.1,1020.4,8.0
2025-03-05,5.3,0.9,10.4,69.0,0.0,21.6,1018.8,8.0
2025-03-06,9.1,3.8,17.3,42.0,0.0,20.0,1020.0,5.0
2025-03-07,8.9,2.1,19.4,50.0,0.0,11.7,1023.1,2.0
2025-03-08,7.5,0.0,17.9,61.0,0.0,7.4,1021.0,7.0
2025-03-09,7.2,0.3,16.4,69.0,0.0,9.7,1019.0,7.0
2025-03-10,5.6,0.9,12.9,78.0,0.0,9.7,1016.2,6.0
2025-03-11,8.3,1.1,17.8,75.0,0.0,16.7,1012.2,7.0
2025-03-12,11.7,5.7,18.7,72.0,0.0,19.9,1008.9,7.0
2025-03-13,12.4,4.9,21.1,71.0,0.0,16.2,1010.2,8.0
2025-03-14,14.3,2.25,17.55,62.0,0.0,17.4,1010.9,5.0
2025-03-22,7.0,-0.4,14.0,56.0,0.0,11.3,1025.2,3.0
2025-03-23,7.2,2.3,12.1,57.0,0.0,11.3,1029.0,6.0
2025-03-24,7.3,3.9,10.9,60.0,0.1,21.0,1028.2,8.0
2025-03-25,10.0,6.6,14.5,73.0,1.4,19.2,1018.2,8.0
2025-03-26,11.4,5.8,17.3,67.0,0.0,11.2,1016.2,5.0
2025-03-27,10.6,3.8,16.8,60.0,0.0,8.3,1016.8,8.0
2025-03-28,12.2,7.7,17.7,56.0,0.7,12.8,1015.5,5.0
2025-03-29,11.8,6.2,18.3,64.0,0.3,20.3,1011.8,7.0
2025-03-30,11.3,7.4,17.3,80.0,2.0,16.8,1009.1,8.0
2025-03-31,11.2,9.3,12.9,92.0,15.2,9.2,1007.3,8.0
2025-04-01,12.1,8.6,17.2,76.0,0.2,15.0,1011.4,5.0
2025-04-02,11.8,5.2,18.6,77.0,0.4,8.0,1010.0,5.0
2025-04-03,13.3,10.0,18.4,78.0,4.1,18.2,1011.9,8.0
2025-04-04,13.7,9.5,19.0,67.0,0.0,8.3,1014.7,6.0
2025-04-05,12.5,9.9,16.6,80.0,1.5,17.0,1004.9,6.0
2025-04-06,10.3,6.4,14.5,78.0,4.5,22.4,1000.7,8.0
2025-04-07,4.8,2.0,7.1,57.0,0.5,12.0,1011.4,8.0
2025-04-08,3.3,0.1,7.0,48.0,0.1,19.5,1015.9,4.0
2025-04-09,2.3,-0.4,4.9,75.0,5.4,10.6,1015.3,5.0
2025-04-10,2.7,-3.3,7.5,61.0,0.0,15.1,1009.6,5.0
2025-04-11,5.5,1.9,10.2,73.0,2.1,19.2,1004.4,7.0
2025-04-12,5.5,0.5,12.4,77.0,3.6,10.7,1011.6,7.0
2025-04-13,6.6,1.6,11.8,74.0,0.0,7.2,1020.4,4.0
2025-04-14,8.7,1.9,15.0,67.0,0.0,7.5,1027.4,0.0
2025-04-15,11.4,3.8,18.3,60.0,0.0,7.2,1028.1,0.0
2025-04-16,13.3,5.7,20.8,60.0,0.0,8.9,1029.4,8.0
2025-04-17,14.8,8.0,21.0,59.0,0.0,8.8,1028.8,2.0
2025-04-18,14.8,7.8,21.8,58.0,0.0,10.1,1022.7,0.0
2025-04-19,14.8,8.5,21.7,56.0,0.0,14.1,1016.5,0.0
2025-04-20,15.7,9.4,22.0,58.0,0.0,10.8,1013.0,0.0
2025-04-21,15.8,9.8,22.2,71.0,2.3,10.4,1013.1,4.0
2025-04-22,16.0,9.2,23.1,69.0,0.0,6.7,1014.8,3.0
2025-04-23,18.1,10.0,26.0,59.0,0.0,8.4,1013.8,1.0
2025-04-24,18.9,11.3,25.6,52.0,0.2,7.3,1009.6,1.0
2025-04-25,19.0,12.1,27.7,52.0,1.2,6.4,1006.5,1.0
2025-04-26,16.4,8.9,23.4,59.0,1.7,17.1,1007.9,2.0
2025-04-27,9.3,6.3,12.7,37.0,0.0,21.2,1020.9,1.0
2025-04-28,7.7,2.6,12.5,44.0,0.0,10.0,1030.7,0.0
2025-04-29,11.5,4.7,17.3,45.0,0.0,12.5,1026.3,2.0
2025-04-30,15.0,7.9,22.3,48.0,0.0,15.6,1018.6,4.0
2025-05-01,17.3,8.6,25.5,50.0,0.0,13.8,1015.0,3.0
2025-05-02,12.7,8.6,16.2,43.0,0.0,19.1,1017.7,2.0
2025-05-03,13.8,5.2,20.4,38.0,0.0,11.0,1017.3,0.0
2025-05-04,16.4,9.5,22.9,38.0,0.0,17.1,1013.4,1.0
2025-05-05,17.5,10.3,24.3,50.0,0.0,13.3,1010.3,1.0
2025-05-06,17.4,11.3,24.0,58.0,0.9,11.7,1011.8,6.0
2025-05-07,17.3,12.1,23.0,67.0,5.7,10.5,1009.6,6.0
2025-05-08,15.7,12.1,19.6,66.0,3.1,13.8,1009.7,7.0
2025-05-09,12.9,8.7,16.0,76.0,13.3,17.2,1009.7,7.0
2025-05-10,10.6,6.9,15.0,57.0,0.0,15.9,1015.2,6.0
2025-05-11,11.6,6.1,17.1,68.0,1.7,13.2,1014.4,4.0
2025-05-12,10.8,8.2,13.6,82.0,2.3,11.4,1010.9,7.0
2025-05-13,10.5,4.8,15.5,65.0,0.1,12.1,1011.3,1.0
2025-05-14,11.2,5.2,16.5,69.0,2.9,12.3,1012.1,2.0
2025-05-15,13.7,8.1,18.7,65.0,0.8,17.6,1013.8,2.0
2025-05-16,14.8,9.0,19.3,59.0,0.0,18.8,1016.7,6.0
2025-05-17,16.4,12.9,20.4,70.0,1.3,18.6,1008.3,7.0
2025-05-18,14.2,10.6,18.5,79.0,2.7,16.2,1009.3,5.0
2025-05-19,14.5,9.6,19.8,72.0,6.2,16.5,1012.2,4.0
2025-05-20,13.4,10.4,17.2,74.0,12.1,19.1,1007.1,7.0
2025-05-21,15.2,9.0,20.7,70.0,0.0,15.9,1013.1,3.0
2025-05-22,17.5,11.0,22.8,62.0,0.0,14.2,1017.1,0.0
2025-05-23,18.9,11.7,25.1,57.0,0.0,13.3,1015.4,1.0
2025-05-24,21.5,15.0,27.7,49.0,0.0,14.5,1013.6,4.0
2025-05-25,22.9,16.6,28.9,47.0,0.0,19.7,1013.0,6.0
2025-05-26,24.4,20.1,29.2,42.0,0.0,25.1,1012.2,8.0
2025-05-27,21.8,17.9,25.9,49.0,1.3,21.6,1009.5,8.0
2025-05-28,18.2,16.6,20.9,82.0,6.4,14.9,1009.5,7.0
2025-05-29,18.7,12.4,23.7,68.0,0.0,9.6,1008.7,3.0
2025-05-30,19.9,13.5,24.3,64.0,2.0,7.4,1009.7,5.0
2025-05-31,19.4,15.5,24.4,76.0,9.0,10.7,1012.0,7.0
2025-06-01,20.8,15.1,26.4,62.0,0.0,12.6,1014.5,2.0
2025-06-02,22.2,15.6,28.2,55.0,0.0,10.4,1016.1,1.0
2025-06-03,24.4,16.9,30.3,48.0,0.0,9.9,1015.7,3.0
2025-06-04,23.7,19.1,28.6,54.0,1.0,18.1,1014.3,3.0
2025-06-05,21.2,15.2,26.4,48.0,0.0,8.7,1020.2,0.0
2025-06-06,23.1,15.0,29.2,44.0,0.0,10.6,1019.7,0.0
2025-06-07,26.3,18.7,32.5,38.0,0.0,11.5,1018.6,2.0
2025-06-08,27.3,19.0,33.4,38.0,0.0,10.1,1016.2,0.0
2025-06-09,28.5,19.5,34.6,34.0,0.0,11.5,1013.9,0.0
2025-06-10,24.0,20.2,27.2,40.0,0.0,21.0,1016.9,1.0
2025-06-11,21.6,15.5,27.0,38.0,0.0,11.6,1015.6,2.0
2025-06-12,20.8,16.8,26.0,50.0,0.2,15.6,1011.8,4.0
2025-06-13,18.3,13.6,23.1,50.0,0.1,19.6,1013.6,2.0
2025-06-14,17.9,13.2,23.3,70.0,6.7,14.8,1012.6,4.0
2025-06-15,16.8,14.2,20.3,73.0,8.7,18.3,1009.5,6.0
2025-06-16,17.6,13.4,22.4,73.0,6.7,16.1,1009.5,3.0
2025-06-17,21.7,14.4,27.3,59.0,0.1,11.9,1011.9,4.0
2025-06-18,22.1,16.7,27.1,53.0,0.0,20.5,1013.0,5.0
2025-06-19,23.4,17.6,28.5,49.0,0.0,20.1,1010.8,3.0
2025-06-20,20.2,16.0,23.8,40.0,0.0,20.8,1009.5,4.0
2025-06-21,17.6,13.1,22.4,53.0,0.2,16.6,1013.1,2.0
2025-06-22,19.5,13.3,25.0,56.0,2.2,16.1,1014.5,4.0
2025-06-23,17.7,13.7,21.6,63.0,6.1,19.3,1010.3,2.0
2025-06-24,19.8,12.0,28.0,60.0,15.9,12.3,1011.8,3.0
2025-06-25,21.3,16.2,26.5,62.0,0.5,17.4,1010.3,3.0
2025-06-26,22.7,18.1,26.2,51.0,0.0,23.8,1008.1,2.0
2025-06-27,21.0,14.3,26.6,47.0,0.0,13.1,1014.2,1.0
2025-06-28,22.2,18.2,27.9,59.0,5.3,17.1,1008.4,7.0
2025-06-29,19.0,15.2,23.5,67.0,5.3,20.6,1006.6,4.0
2025-06-30,21.0,16.6,25.8,54.0,1.3,19.0,1005.6,2.0
2025-07-01,19.3,15.4,23.2,52.0,0.6,20.5,1008.8,2.0
2025-07-02,19.4,14.4,24.6,61.0,4.3,18.5,1011.8,3.0
2025-07-03,19.6,13.2,25.7,67.0,0.0,15.3,1015.4,2.0
2025-07-04,24.2,16.1,30.3,54.0,0.0,7.1,1016.4,0.0
2025-07-05,24.7,18.9,29.9,58.0,3.1,12.4,1014.4,2.0
2025-07-06,23.8,17.4,29.5,49.0,0.0,9.2,1016.1,0.0
2025-07-07,26.6,18.9,32.9,51.0,0.0,11.7,1012.6,2.0
2025-07-08,28.7,20.8,34.7,44.0,0.0,9.5,1010.0,0.0
2025-07-09,29.4,22.9,35.3,37.0,0.0,15.1,1007.6,0.0
2025-07-10,29.5,21.6,36.2,42.0,0.0,15.5,1005.3,0.0
2025-07-11,28.8,22.3,34.2,52.0,0.2,10.5,1007.4,1.0
2025-07-12,29.0,23.0,34.6,46.0,0.0,9.5,1011.9,3.0
2025-07-13,28.0,22.7,33.3,54.0,0.1,13.2,1014.3,3.0
2025-07-14,26.9,21.7,31.8,43.0,0.0,15.5,1013.6,0.0
2025-07-15,27.1,19.5,32.7,45.0,0.0,8.2,1009.3,1.0
2025-07-16,28.1,21.6,33.1,42.0,0.0,9.9,1006.4,1.0
2025-07-17,26.4,21.8,32.5,51.0,1.1,9.4,1007.5,3.0
2025-07-18,25.3,19.6,31.0,68.0,0.9,10.3,1008.9,7.0
2025-07-19,24.3,19.8,28.0,58.0,4.0,14.7,1009.0,4.0
2025-07-20,24.3,18.0,29.6,51.0,0.0,11.2,1008.7,1.0
2025-07-21,25.5,20.1,31.1,56.0,1.0,13.3,1007.6,2.0
2025-07-22,27.9,21.3,33.6,51.0,0.0,13.7,1007.4,2.0
2025-07-23,27.2,20.0,32.0,52.0,0.0,18.5,1007.2,2.0
2025-07-24,26.5,20.5,32.2,43.0,0.0,14.2,1010.6,0.0
2025-07-25,26.9,19.9,32.3,46.0,0.0,8.4,1012.1,2.0
2025-07-26,29.2,22.8,35.6,46.0,0.0,9.5,1010.5,2.0
2025-07-27,29.2,23.2,34.6,46.0,0.0,11.2,1009.1,2.0
2025-07-28,28.7,23.7,33.4,43.0,0.0,17.7,1006.8,0.0
2025-07-29,29.0,23.3,34.4,30.0,0.0,19.1,1005.0,1.0
2025-07-30,29.3,24.3,35.0,36.0,0.0,16.9,1003.9,1.0
2025-07-31,25.0,20.2,30.3,56.0,0.0,17.3,1006.9,1.0
2025-08-01,23.4,18.4,28.5,53.0,0.0,14.9,1009.8,3.0
2025-08-02,24.4,17.9,29.6,52.0,0.0,16.2,1012.7,1.0
2025-08-03,24.3,22.0,28.9,59.0,0.0,18.3,1011.4,6.0
2025-08-04,25.1,19.2,30.8,60.0,0.0,14.9,1011.6,2.0
2025-08-05,26.4,19.1,32.8,48.0,0.0,9.4,1015.3,1.0
2025-08-06,27.9,20.6,33.9,48.0,0.0,8.3,1015.2,0.0
2025-08-07,26.2,22.8,29.9,55.0,0.8,14.2,1015.7,3.0
2025-08-08,23.9,19.3,28.6,46.0,0.0,17.8,1019.1,3.0
2025-08-09,24.1,17.4,30.3,43.0,0.0,11.9,1018.9,1.0
2025-08-10,24.2,18.8,29.5,43.0,0.0,12.5,1019.2,0.0
2025-08-11,23.8,19.5,29.4,46.0,0.0,18.6,1015.4,3.0
2025-08-12,22.4,16.8,27.3,43.0,0.0,17.3,1018.6,1.0
2025-08-13,23.2,16.5,29.1,42.0,0.0,12.5,1020.6,1.0
2025-08-14,23.4,16.8,29.1,42.0,0.0,11.6,1020.0,0.0
2025-08-15,21.8,17.2,26.1,46.0,0.0,16.0,1019.3,2.0
2025-08-16,22.3,15.7,28.6,47.0,0.0,9.7,1016.4,0.0
2025-08-17,24.9,16.9,31.5,40.0,0.0,9.2,1010.7,0.0
2025-08-18,23.4,18.0,28.5,47.0,0.7,14.6,1008.8,1.0
2025-08-19,20.7,15.3,25.5,44.0,0.0,10.4,1013.8,0.0
2025-08-20,22.3,15.3,28.5,44.0,0.0,8.7,1010.3,2.0
2025-08-21,24.2,16.9,29.9,41.0,0.0,10.3,1009.5,3.0
2025-08-22,25.4,18.8,31.6,55.0,0.0,17.1,1008.5,0.0
2025-08-23,21.4,17.0,25.1,74.0,7.0,17.2,1003.5,6.0
2025-08-24,18.8,14.2,24.1,62.0,3.4,13.1,1009.5,4.0
2025-08-25,16.7,10.8,22.8,58.0,0.0,15.9,1015.5,1.0
2025-08-26,18.2,12.5,23.5,52.0,0.0,11.8,1016.1,3.0
2025-08-27,19.5,12.3,26.8,53.0,0.0,7.8,1018.1,2.0
2025-08-28,21.7,13.9,29.1,50.0,0.0,7.3,1020.1,0.0
2025-08-29,23.8,15.7,30.9,38.0,0.0,12.2,1019.2,0.0
2025-08-30,25.7,19.4,32.4,28.0,0.0,17.0,1013.4,0.0
2025-08-31,26.8,19.9,33.4,39.0,0.0,11.1,1008.7,1.0
2025-09-01,24.1,19.9,30.1,66.0,4.2,12.0,1006.7,3.0
2025-09-02,23.3,17.2,29.1,66.0,0.0,7.9,1007.6,1.0
2025-09-03,22.6,18.5,27.4,52.0,0.0,16.8,1012.2,0.0
2025-09-04,20.5,15.6,25.6,58.0,0.0,14.3,1016.4,0.0
2025-09-05,19.2,14.0,24.4,54.0,0.0,12.0,1018.4,0.0
2025-09-06,20.0,14.0,25.2,53.0,0.0,13.8,1019.0,1.0
2025-09-07,21.0,15.3,26.8,49.0,0.0,16.2,1018.2,1.0
2025-09-08,21.9,17.2,28.1,57.0,2.1,14.9,1016.7,1.0
2025-09-09,21.5,17.5,27.7,58.0,2.0,16.9,1016.2,7.0
2025-09-10,20.8,16.6,26.1,60.0,2.8,19.0,1018.7,7.0
2025-09-11,19.2,14.6,24.4,43.0,0.0,15.7,1021.8,1.0
2025-09-12,18.6,12.0,24.7,42.0,0.0,13.0,1022.7,0.0
2025-09-13,17.6,13.4,21.9,45.0,0.0,14.4,1027.4,2.0
2025-09-14,18.1,11.6,24.1,44.0,0.0,16.7,1027.1,2.0
2025-09-15,19.3,14.0,24.6,39.0,0.0,18.3,1021.9,3.0
2025-09-16,18.5,14.6,23.9,35.0,0.0,14.3,1019.0,5.0
2025-09-17,18.8,13.0,25.0,45.0,0.0,14.3,1015.3,5.0
2025-09-18,15.3,14.2,17.5,92.0,13.3,13.6,1010.5,8.0
2025-09-19,16.6,12.6,22.0,67.0,0.0,19.0,1017.6,2.0
2025-09-20,17.2,12.9,22.2,63.0,0.0,16.4,1020.3,3.0
2025-09-21,16.0,10.9,22.4,69.0,0.0,6.5,1024.6,0.0
2025-09-22,18.2,11.3,25.4,61.0,0.0,6.4,1023.6,0.0
2025-09-23,19.1,12.1,26.3,58.0,0.0,6.3,1020.3,0.0
