"id","table_name","period_from","period_to","created_at","updated_at"
193,trading_unit,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:14:14.240,2024-04-08 13:34:55.317
3539069,maximum_export_limit,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2024-08-08 10:55:40.115,2025-02-10 18:34:21.185
3539068,final_physical_notification,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2024-08-08 10:55:40.115,2025-02-10 18:37:42.061
3539070,maximum_import_limit,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2024-08-08 10:55:40.115,2025-02-10 18:45:32.337
2074405,remit,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:17:40.115,2025-02-10 18:49:44.885
2226003,system_price_offer_stack,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:17:40.115,2025-02-10 18:55:24.347
3579721,ndz,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2024-08-08 10:55:40.115,2025-02-10 18:57:22.669
3579720,mzt,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2024-08-08 10:55:40.115,2025-02-10 18:58:34.070
2,main_price_summary,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:13:56.003,2024-07-28 16:50:17.008
493257,generation_forecasts_wind_solar,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-30 20:12:39.372,2025-02-10 18:49:54.233
2226007,system_price_bid_stack,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:17:40.115,2025-02-10 18:50:39.069
132,bid_acceptance_volume,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:14:10.111,2024-02-08 10:30:21.874
207,generation_by_fuel_type_historical,2023-07-01 00:00:00.000,2023-07-01 00:00:00.000,2023-03-20 18:14:15.165,2025-02-10 18:55:10.678
1,bid_offer_data,2021-01-02 00:00:00.000,2024-12-31 00:00:00.000,2023-03-20 18:13:54.669,2025-02-10 18:57:24.097
780818,temperature,2021-01-02 00:00:00.000,2023-06-19 00:00:00.000,2023-06-20 09:00:04.163,2023-08-10 14:00:12.303
2048,total_commercial_schedules,2023-01-01 00:00:00.000,2025-02-12 00:00:00.000,2023-03-20 18:16:52.063,2025-02-10 18:48:58.381
9,nation_demand_forecast,2022-12-31 00:00:00.000,2025-02-11 00:00:00.000,2023-03-20 18:13:58.213,2025-02-10 18:49:38.280
108,derived_system_wide_data,2023-01-01 00:00:00.000,2025-02-11 00:00:00.000,2023-03-20 18:14:08.541,2025-02-10 18:52:25.260
1587,day_ahead_commercial_schedules,2023-01-01 00:00:00.000,2025-02-12 00:00:00.000,2023-03-20 18:16:24.495,2025-02-10 18:31:13.828
2164,already_allocated_capacity,2023-01-01 00:00:00.000,2025-01-13 00:00:00.000,2023-03-20 18:16:58.859,2025-01-13 22:50:25.380
731,offered_day_ahead_transfer_capacity,2023-01-01 00:00:00.000,2025-01-13 00:00:00.000,2023-03-20 18:14:42.077,2025-01-13 22:50:30.636
2513,day_ahead_price,2021-01-02 00:00:00.000,2025-01-13 00:00:00.000,2023-03-20 18:17:21.213,2025-01-13 22:50:36.064
2776,total_nominated_capacity,2023-01-01 00:00:00.000,2025-01-16 00:00:00.000,2023-03-20 18:17:40.115,2025-01-13 22:52:26.528
2606,cross_border_physical_flow,2021-01-02 00:00:00.000,2025-02-10 00:00:00.000,2023-03-20 18:17:28.599,2025-02-10 18:47:21.257
159,initial_nation_demand_outturn,2022-12-31 23:30:00.000,2025-02-11 00:00:00.000,2023-03-20 18:14:12.092,2025-02-10 18:50:34.028
69,market_index_data,2021-01-02 00:00:00.000,2025-02-11 00:00:00.000,2023-03-20 18:14:04.306,2025-02-10 18:51:21.050
1627,requested_capacity,2021-01-02 00:00:00.000,2025-02-13 00:00:00.000,2023-03-20 18:16:27.100,2025-02-10 18:52:12.978
2754,total_capacity_nominated_intraday,2023-01-01 00:00:00.000,2025-02-12 00:00:00.000,2023-03-20 18:17:38.689,2025-02-10 18:54:20.399
1958,forecasted_transfer_capacities_daily,2023-01-01 00:00:00.000,2025-02-14 00:00:00.000,2023-03-20 18:16:46.557,2025-02-10 18:56:27.513
176,rolling_system_frequency,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:14:13.214,2024-08-05 13:00:40.715
23,actual_aggregated_generation_per_type,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:13:59.910,2024-08-05 13:01:49.508
32,half_hourly_interconnect_outturn_geneneration,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:14:00.552,2024-08-05 13:02:15.881
265,rolling_system_demand,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:14:18.191,2024-08-05 13:04:01.757
96,settlement_exchange_rate,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:14:07.558,2024-08-05 13:04:32.669
243,loss_of_load_probability,2021-01-02 00:00:00.000,2024-01-01 00:00:00.000,2023-03-20 18:14:17.245,2024-08-05 13:05:01.887
