appliance_group,year,month,days_in_month,residents,n_consumers,pg_month,vpg_month,op_per_m2_month,total_predicted_month,actual_median_month,total_formula
ПГ,2024,10,31,2,104,6.96,0.0,0.0,6.96,6.42,
ПГ,2024,10,31,3,72,7.54,0.0,0.0,7.54,7.07,
ПГ,2024,10,31,4,34,8.23,0.0,0.0,8.23,8.44,
ПГ,2024,11,30,2,106,6.44,0.0,0.0,6.44,5.92,
ПГ,2024,11,30,3,74,7.15,0.0,0.0,7.15,6.47,
ПГ,2024,11,30,4,34,7.97,0.0,0.0,7.97,7.32,
ПГ,2024,12,31,2,163,6.92,0.0,0.0,6.92,6.81,
ПГ,2024,12,31,3,129,7.46,0.0,0.0,7.46,7.57,
ПГ,2024,12,31,4,69,7.96,0.0,0.0,7.96,8.62,
ПГ,2025,1,31,2,227,6.36,0.0,0.0,6.36,6.11,
ПГ,2025,1,31,3,182,6.89,0.0,0.0,6.89,6.54,
ПГ,2025,1,31,4,105,7.35,0.0,0.0,7.35,7.33,
ПГ,2025,2,28,2,234,5.84,0.0,0.0,5.84,5.84,
ПГ,2025,2,28,3,191,6.36,0.0,0.0,6.36,6.36,
ПГ,2025,2,28,4,112,7.05,0.0,0.0,7.05,7.05,
ПГ,2025,3,31,2,235,6.27,0.0,0.0,6.27,6.27,
ПГ,2025,3,31,3,191,6.61,0.0,0.0,6.61,6.61,
ПГ,2025,3,31,4,112,7.27,0.0,0.0,7.27,7.27,
ПГ,2025,4,30,2,235,6.72,0.0,0.0,6.72,6.72,
ПГ,2025,4,30,3,190,7.07,0.0,0.0,7.07,7.07,
ПГ,2025,4,30,4,112,7.96,0.0,0.0,7.96,7.96,
ПГ,2025,5,31,2,235,5.75,0.0,0.0,5.75,5.75,
ПГ,2025,5,31,3,191,6.13,0.0,0.0,6.13,6.13,
ПГ,2025,5,31,4,112,6.86,0.0,0.0,6.86,6.86,
ПГ,2025,6,30,2,235,5.51,0.0,0.0,5.51,5.51,
ПГ,2025,6,30,3,191,5.77,0.0,0.0,5.77,5.77,
ПГ,2025,6,30,4,112,6.26,0.0,0.0,6.26,6.26,
ПГ,2025,7,31,2,235,5.39,0.0,0.0,5.39,5.39,
ПГ,2025,7,31,3,191,5.4,0.0,0.0,5.4,5.4,
ПГ,2025,7,31,4,112,6.22,0.0,0.0,6.22,6.22,
ПГ,2025,8,31,2,235,5.82,0.0,0.0,5.82,5.82,
ПГ,2025,8,31,3,191,6.22,0.0,0.0,6.22,6.22,
ПГ,2025,8,31,4,112,6.92,0.0,0.0,6.92,6.92,
ПГ,2025,9,30,2,235,5.96,0.0,0.0,5.96,5.96,
ПГ,2025,9,30,3,190,6.27,0.0,0.0,6.27,6.27,
ПГ,2025,9,30,4,112,6.28,0.0,0.0,6.28,6.28,
ПГ,2025,10,31,2,225,6.96,0.0,0.0,6.96,7.12,
ПГ,2025,10,31,3,188,7.54,0.0,0.0,7.54,7.79,
ПГ,2025,10,31,4,111,8.23,0.0,0.0,8.23,8.04,
ПГ,2025,11,30,2,223,6.44,0.0,0.0,6.44,6.77,
ПГ,2025,11,30,3,186,7.15,0.0,0.0,7.15,7.46,
ПГ,2025,11,30,4,111,7.97,0.0,0.0,7.97,8.22,
ПГ,2025,12,31,2,229,6.92,0.0,0.0,6.92,7.0,
ПГ,2025,12,31,3,185,7.46,0.0,0.0,7.46,7.39,
ПГ,2025,12,31,4,108,7.96,0.0,0.0,7.96,7.71,
ПГ,2026,1,31,2,218,6.36,0.0,0.0,6.36,6.57,
ПГ,2026,1,31,3,176,6.89,0.0,0.0,6.89,7.25,
ПГ,2026,1,31,4,103,7.35,0.0,0.0,7.35,7.5,
"ПГ,ВПГ",2024,10,31,2,239,6.96,9.24,0.0,16.2,14.3,
