appliance_group,year,month,days_in_month,n_consumers,coef_op_per_m2_month,coef_op_per_m2_day,median_op_component,median_area,r2_op
"ОП,ПГ",2024,10,31,272,0.8097,0.026118,45.49,55.0,-0.0115
"ОП,ПГ",2024,11,30,274,2.7674,0.092246,172.94,55.0,-0.0036
"ОП,ПГ",2024,12,31,274,3.6191,0.116744,224.14,55.0,0.0643
"ОП,ПГ",2025,1,31,278,3.4728,0.112026,215.33,55.0,0.0698
"ОП,ПГ",2025,2,28,274,3.9439,0.140854,244.51,54.7,0.019
"ОП,ПГ",2025,3,31,283,2.4176,0.077986,146.63,55.0,0.0023
"ОП,ПГ",2025,4,30,283,1.1361,0.037869,65.12,55.0,0.0048
"ОП,ПГ",2025,5,31,283,0.2392,0.007716,6.41,55.0,-0.0153
"ОП,ПГ",2025,6,30,283,0.09,0.003001,2.37,55.0,0.0144
"ОП,ПГ",2025,7,31,283,0.0847,0.002732,2.21,55.0,-0.0005
"ОП,ПГ",2025,8,31,283,0.0849,0.00274,2.21,55.0,-0.0012
"ОП,ПГ",2025,9,30,283,0.1356,0.00452,4.71,55.0,0.0129
"ОП,ПГ",2025,10,31,277,1.2155,0.039209,63.96,55.0,0.0816
"ОП,ПГ",2025,11,30,259,2.1114,0.070379,127.08,54.4,0.0465
"ОП,ПГ",2025,12,31,241,3.595,0.115967,213.82,53.1,0.0285
"ОП,ПГ",2026,1,31,206,4.5493,0.146751,266.26,52.0,-0.0035
"ОП,ПГ,ВПГ",2024,10,31,998,0.6743,0.021753,48.46,65.2,-0.0533
"ОП,ПГ,ВПГ",2024,11,30,1002,2.3045,0.076818,184.28,65.2,-0.1128
"ОП,ПГ,ВПГ",2024,12,31,1005,2.9787,0.096089,243.4,65.1,-0.1917
"ОП,ПГ,ВПГ",2025,1,31,1009,2.8918,0.093284,235.79,65.1,-0.1302
"ОП,ПГ,ВПГ",2025,2,28,987,3.3044,0.118013,264.08,64.9,-0.2335
"ОП,ПГ,ВПГ",2025,3,31,1023,1.9419,0.062642,159.57,65.2,-0.1268
"ОП,ПГ,ВПГ",2025,4,30,1023,0.8833,0.029444,68.05,65.2,-0.1023
"ОП,ПГ,ВПГ",2025,5,31,1023,0.2198,0.007089,5.81,65.2,0.0025
"ОП,ПГ,ВПГ",2025,6,30,1023,0.1024,0.003415,0.0,65.2,0.0307
"ОП,ПГ,ВПГ",2025,7,31,1023,0.0929,0.002998,0.81,65.2,0.0279
"ОП,ПГ,ВПГ",2025,8,31,1023,0.0976,0.003148,1.97,65.2,0.031
"ОП,ПГ,ВПГ",2025,9,30,1023,0.1364,0.004546,4.37,65.2,0.0069
"ОП,ПГ,ВПГ",2025,10,31,1006,0.9897,0.031926,76.32,65.2,-0.091
"ОП,ПГ,ВПГ",2025,11,30,971,1.6778,0.055926,136.36,65.2,-0.1746
"ОП,ПГ,ВПГ",2025,12,31,945,2.9625,0.095564,234.62,65.0,-0.1432
"ОП,ПГ,ВПГ",2026,1,31,815,3.8708,0.124863,295.61,64.0,-0.1703
