appliance_group,year,month,days_in_month,n_consumers,season,coef_area_per_month,coef_residents_per_month,r2,pg_per_person_month,vpg_per_person_month,op_per_person_month,median_area,median_residents,median_consumption,mean_consumption,summer_mean
"ОП,ПГ",2024,10,31,244,heating,0.6913,5.92,0.0145,2.78,0.0,3.14,55.0,3.0,56.0,57.8,
"ОП,ПГ",2024,11,30,247,heating,1.9994,24.29,0.1441,2.63,0.0,21.66,55.4,3.0,189.5,185.2,
"ОП,ПГ",2024,12,31,251,heating,2.6878,28.58,0.1987,2.74,0.0,25.84,55.0,3.0,236.1,236.3,
"ОП,ПГ",2025,1,31,255,heating,2.661,25.94,0.1797,2.58,0.0,23.36,55.0,3.0,225.5,228.0,
"ОП,ПГ",2025,2,28,251,heating,2.9461,30.44,0.1586,2.36,0.0,28.08,55.0,3.0,255.8,256.7,
"ОП,ПГ",2025,3,31,260,heating,1.7262,21.23,0.0906,2.47,0.0,18.76,55.2,3.0,157.9,160.9,
"ОП,ПГ",2025,4,30,256,heating,0.8431,10.03,0.037,2.67,0.0,7.36,55.2,3.0,76.8,77.9,
"ОП,ПГ",2025,5,31,259,summer,0.0,0.0,-0.1151,0.0,0.0,0.0,55.0,3.0,11.7,19.7,11.61
"ОП,ПГ",2025,6,30,254,summer,0.0,0.0,-0.0899,0.0,0.0,0.0,55.2,3.0,8.0,10.5,8.0
"ОП,ПГ",2025,7,31,252,summer,0.0,0.0,-0.1242,0.0,0.0,0.0,55.2,3.0,7.8,10.4,7.68
"ОП,ПГ",2025,8,31,250,summer,0.0,0.0,-0.0796,0.0,0.0,0.0,55.2,3.0,8.8,10.9,8.74
"ОП,ПГ",2025,9,30,247,summer,0.0,0.0,-0.094,0.0,0.0,0.0,55.4,3.0,10.0,13.3,9.99
"ОП,ПГ",2025,10,31,246,heating,1.0367,8.0,0.0776,2.78,0.0,5.21,55.0,3.0,76.7,83.1,
"ОП,ПГ",2025,11,30,229,heating,1.652,16.98,0.1145,2.63,0.0,14.35,54.7,3.0,143.7,143.7,
"ОП,ПГ",2025,12,31,220,heating,2.6414,29.72,0.0971,2.74,0.0,26.98,53.8,3.0,230.3,237.2,
"ОП,ПГ",2026,1,31,188,heating,3.1975,38.95,0.0668,2.58,0.0,36.37,53.0,3.0,282.9,293.1,
"ОП,ПГ,ВПГ",2024,10,31,893,heating,0.4174,14.9,0.0236,2.78,4.18,7.93,65.1,3.0,67.7,73.2,
"ОП,ПГ,ВПГ",2024,11,30,908,heating,1.5788,34.08,0.0681,2.63,4.6,26.85,65.2,3.0,209.9,213.1,
"ОП,ПГ,ВПГ",2024,12,31,920,heating,2.1167,41.65,0.0978,2.74,5.36,33.54,65.2,3.0,271.1,274.0,
"ОП,ПГ,ВПГ",2025,1,31,922,heating,2.0168,40.99,0.0987,2.58,5.74,32.66,65.2,3.0,261.8,264.6,
"ОП,ПГ,ВПГ",2025,2,28,905,heating,2.2997,45.28,0.0373,2.36,5.32,37.59,64.9,3.0,289.9,295.1,
"ОП,ПГ,ВПГ",2025,3,31,930,heating,1.2953,32.84,0.0605,2.47,5.93,24.43,65.2,3.0,185.7,189.3,
"ОП,ПГ,ВПГ",2025,4,30,926,heating,0.5991,18.19,0.0138,2.67,5.68,9.84,65.1,3.0,91.2,96.3,
"ОП,ПГ,ВПГ",2025,5,31,921,summer,0.0,0.0,-0.099,0.0,0.0,0.0,65.1,3.0,23.9,32.8,23.55
"ОП,ПГ,ВПГ",2025,6,30,918,summer,0.0,0.0,-0.055,0.0,0.0,0.0,65.2,3.0,16.2,20.1,16.2
"ОП,ПГ,ВПГ",2025,7,31,918,summer,0.0,0.0,-0.0673,0.0,0.0,0.0,65.2,3.0,14.1,18.0,14.17
"ОП,ПГ,ВПГ",2025,8,31,908,summer,0.0,0.0,-0.0623,0.0,0.0,0.0,65.2,3.0,14.8,18.4,14.81
"ОП,ПГ,ВПГ",2025,9,30,908,summer,0.0,0.0,-0.055,0.0,0.0,0.0,65.2,3.0,18.3,22.5,18.28
"ОП,ПГ,ВПГ",2025,10,31,901,heating,0.6367,19.36,0.0031,2.78,4.18,12.39,65.1,3.0,95.8,102.4,
"ОП,ПГ,ВПГ",2025,11,30,879,heating,1.0039,31.34,-0.0416,2.63,4.6,24.12,65.2,3.0,158.4,164.1,
"ОП,ПГ,ВПГ",2025,12,31,866,heating,2.0145,42.31,0.0236,2.74,5.36,34.2,65.1,3.0,262.5,269.7,
"ОП,ПГ,ВПГ",2026,1,31,741,heating,2.5649,52.69,0.0208,2.58,5.74,44.36,64.1,3.0,326.6,333.9,
