appliance_group,consumer_type,month,month_ua,P_modem_median,P_modem_mean,n_modem_months,source
ПГ,Багатоквартирний сектор,1,Січ,6.52,7.256,1021,direct
ПГ,Багатоквартирний сектор,2,Лют,6.077,6.642,541,direct
ПГ,Багатоквартирний сектор,3,Бер,6.41,6.797,541,direct
ПГ,Багатоквартирний сектор,4,Кві,6.86,7.625,541,direct
ПГ,Багатоквартирний сектор,5,Тра,5.91,6.328,541,direct
ПГ,Багатоквартирний сектор,6,Чер,5.36,5.719,541,direct
ПГ,Багатоквартирний сектор,7,Лип,5.09,5.679,540,direct
ПГ,Багатоквартирний сектор,8,Сер,5.89,6.283,541,direct
ПГ,Багатоквартирний сектор,9,Вер,5.7,6.155,540,direct
ПГ,Багатоквартирний сектор,10,Жов,7.13,7.923,741,direct
ПГ,Багатоквартирний сектор,11,Лис,6.69,7.505,739,direct
ПГ,Багатоквартирний сектор,12,Гру,7.008,7.649,880,direct
"ПГ,ВПГ",Багатоквартирний сектор,1,Січ,19.67,22.87,1278,direct
"ПГ,ВПГ",Багатоквартирний сектор,2,Лют,18.76,21.505,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,3,Бер,20.41,23.434,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,4,Кві,20.6,23.328,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,5,Тра,17.81,20.597,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,6,Чер,14.39,16.857,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,7,Лип,12.62,14.482,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,8,Сер,12.131,13.875,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,9,Вер,13.31,15.23,653,direct
"ПГ,ВПГ",Багатоквартирний сектор,10,Жов,16.45,19.228,1123,direct
"ПГ,ВПГ",Багатоквартирний сектор,11,Лис,17.187,20.455,1150,direct
"ПГ,ВПГ",Багатоквартирний сектор,12,Гру,19.365,22.424,1268,direct
"ОП,ПГ,ВПГ",Приватний сектор,5,Тра,22.1,30.979,943,direct
"ОП,ПГ,ВПГ",Приватний сектор,6,Чер,14.585,18.838,942,direct
"ОП,ПГ,ВПГ",Приватний сектор,7,Лип,13.37,16.834,943,direct
"ОП,ПГ,ВПГ",Приватний сектор,8,Сер,13.8,17.076,943,direct
"ОП,ПГ,ВПГ",Приватний сектор,9,Вер,16.37,21.266,943,direct
"ОП,ПГ,ВПГ",Багатоквартирний сектор,5,Тра,18.47,24.38,90,direct
"ОП,ПГ,ВПГ",Багатоквартирний сектор,6,Чер,8.715,14.972,90,direct
"ОП,ПГ,ВПГ",Багатоквартирний сектор,7,Лип,9.515,12.892,90,direct
"ОП,ПГ,ВПГ",Багатоквартирний сектор,8,Сер,8.901,12.751,90,direct
"ОП,ПГ,ВПГ",Багатоквартирний сектор,9,Вер,11.155,14.282,90,direct
"ОП,ПГ",Приватний сектор,5,Тра,10.96,18.853,258,direct
"ОП,ПГ",Приватний сектор,6,Чер,7.55,9.953,258,direct
"ОП,ПГ",Приватний сектор,7,Лип,7.486,9.686,258,direct
"ОП,ПГ",Приватний сектор,8,Сер,8.065,10.048,258,direct
"ОП,ПГ",Приватний сектор,9,Вер,9.269,12.244,258,direct
"ОП,ПГ",Приватний сектор,5,Тра,11.042,11.042,0,"proxy_ПГ,ВПГ×0.62"
"ОП,ПГ",Приватний сектор,6,Чер,8.922,8.922,0,"proxy_ПГ,ВПГ×0.62"
"ОП,ПГ",Приватний сектор,7,Лип,7.824,7.824,0,"proxy_ПГ,ВПГ×0.62"
"ОП,ПГ",Приватний сектор,8,Сер,7.521,7.521,0,"proxy_ПГ,ВПГ×0.62"
"ОП,ПГ",Приватний сектор,9,Вер,8.252,8.252,0,"proxy_ПГ,ВПГ×0.62"
"ОП,ПГ",Багатоквартирний сектор,5,Тра,5.875,5.875,0,proxy_ПГ×0.994
"ОП,ПГ",Багатоквартирний сектор,6,Чер,5.328,5.328,0,proxy_ПГ×0.994
"ОП,ПГ",Багатоквартирний сектор,7,Лип,5.059,5.059,0,proxy_ПГ×0.994
"ОП,ПГ",Багатоквартирний сектор,8,Сер,5.855,5.855,0,proxy_ПГ×0.994
"ОП,ПГ",Багатоквартирний сектор,9,Вер,5.666,5.666,0,proxy_ПГ×0.994
