account_id,appliance_group,cons_dec2024,multiplier
600185063,ВПГ,30.0,0.5027652086475616
600184494,ВПГ,24.62,0.41260264789676554
600199201,ВПГ,94.0,1.5753309870956929
600067611,ВПГ,59.67,1.0
600366015,ВПГ,182.9,3.0651918887213006
600173485,ПГ,100.0,1.5625
600173525,ПГ,89.0,1.390625
600173871,ПГ,25.7,0.4015625
600173903,ПГ,92.31,1.44234375
600174099,ПГ,101.0,1.578125
600174470,ПГ,60.53,0.94578125
600174668,ПГ,115.0,1.796875
600174816,ПГ,21.55,0.33671875
600174876,ПГ,24.0,0.375
600175192,ПГ,40.0,0.625
600175222,ПГ,255.0,3.984375
600175258,ПГ,36.0,0.5625
600175424,ПГ,97.15,1.51796875
600175596,ПГ,130.1,2.0328125
600175763,ПГ,65.0,1.015625
600175771,ПГ,83.2,1.3
600175825,ПГ,1.69,0.1
600175964,ПГ,1.0,0.1
600176166,ПГ,31.0,0.484375
600176184,ПГ,63.05,0.98515625
600176219,ПГ,50.0,0.78125
600176604,ПГ,51.0,0.796875
600176740,ПГ,72.0,1.125
600176938,ПГ,18.58,0.2903125
600177000,ПГ,104.0,1.625
600177103,ПГ,111.0,1.734375
600177140,ПГ,26.13,0.40828125
600177496,ПГ,177.0,2.765625
600177879,ПГ,42.58,0.6653125
600178243,ПГ,118.42,1.8503125
600178317,ПГ,2.02,0.1
600178515,ПГ,84.03,1.31296875
600178546,ПГ,98.0,1.53125
600178684,ПГ,106.0,1.65625
600178716,ПГ,196.0,3.0625
600179063,ПГ,87.0,1.359375
600179336,ПГ,203.0,3.171875
600179458,ПГ,135.0,2.109375
600179830,ПГ,161.19,2.51859375
600179864,ПГ,93.0,1.453125
600180105,ПГ,6.65,0.10390625
600181597,ПГ,19.0,0.296875
600181620,ПГ,58.0,0.90625
600182706,ПГ,53.0,0.828125
600182916,ПГ,96.0,1.5
600183105,ПГ,2.43,0.1
600183475,ПГ,7.42,0.1159375
600183537,ПГ,81.0,1.265625
600183704,ПГ,45.0,0.703125
600183738,ПГ,112.89,1.76390625
600184081,ПГ,7.42,0.1159375
600184622,ПГ,70.57,1.10265625
600184825,ПГ,78.0,1.21875
600185424,ПГ,65.99,1.03109375
600173517,ПГ,273.0,4.265625
600173547,ПГ,48.0,0.75
600173690,ПГ,58.56,0.915
600173761,ПГ,117.0,1.828125
600174061,ПГ,24.44,0.381875
600174131,ПГ,49.0,0.765625
600174297,ПГ,47.97,0.74953125
600174329,ПГ,73.05,1.14140625
600174437,ПГ,5.0,0.1
600174475,ПГ,53.51,0.83609375
600174646,ПГ,139.0,2.171875
600174846,ПГ,74.34,1.1615625
600175219,ПГ,73.0,1.140625
600175247,ПГ,138.0,2.15625
600175393,ПГ,68.61,1.07203125
600175586,ПГ,123.19,1.92484375
600175650,ПГ,218.56,3.415
600175767,ПГ,213.0,3.328125
600175821,ПГ,43.0,0.671875
600175852,ПГ,7.55,0.11796875
600175956,ПГ,43.0,0.671875
600175988,ПГ,53.51,0.83609375
600176021,ПГ,45.0,0.703125
600176164,ПГ,112.6,1.759375
600176204,ПГ,64.0,1.0
600176595,ПГ,60.23,0.94109375
600176628,ПГ,81.0,1.265625
600176796,ПГ,254.0,3.96875
600177029,ПГ,96.0,1.5
600177164,ПГ,130.0,2.03125
600177390,ПГ,127.0,1.984375
600177537,ПГ,114.0,1.78125
600177737,ПГ,4.3,0.1
600177938,ПГ,1.5,0.1
600177970,ПГ,157.24,2.456875
600178085,ПГ,22.25,0.34765625
600178141,ПГ,71.0,1.109375
600178299,ПГ,40.26,0.6290625
600178345,ПГ,15.4,0.240625
600178495,ПГ,155.0,2.421875
600178522,ПГ,156.25,2.44140625
600178556,ПГ,63.72,0.995625
600178695,ПГ,49.0,0.765625
600178721,ПГ,101.0,1.578125
600178745,ПГ,128.03,2.00046875
600178939,ПГ,119.0,1.859375
600179086,ПГ,137.0,2.140625
600179156,ПГ,105.0,1.640625
600179361,ПГ,78.0,1.21875
600179667,ПГ,158.0,2.46875
600179895,ПГ,174.9,2.7328125
600180070,ПГ,30.02,0.4690625
600180129,ПГ,56.0,0.875
600181078,ПГ,0.67,0.1
600181790,ПГ,40.02,0.6253125
600183546,ПГ,44.49,0.69515625
600183744,ПГ,35.95,0.56171875
600184092,ПГ,33.0,0.515625
600184316,ПГ,121.0,1.890625
600184492,ПГ,177.56,2.774375
600184524,ПГ,13.0,0.203125
600184681,ПГ,78.75,1.23046875
600184859,ПГ,7.42,0.1159375
600184917,ПГ,127.2,1.9875
600173556,ПГ,211.0,3.296875
600173936,ПГ,38.0,0.59375
600174139,ПГ,116.0,1.8125
600174275,ПГ,112.49,1.75765625
600174338,ПГ,7.0,0.109375
600174541,ПГ,37.67,0.58859375
600175081,ПГ,117.15,1.83046875
600175118,ПГ,27.14,0.4240625
600175287,ПГ,37.0,0.578125
600175464,ПГ,150.0,2.34375
600175589,ПГ,102.01,1.59390625
600175626,ПГ,99.0,1.546875
600175800,ПГ,6.42,0.1003125
600175853,ПГ,87.5,1.3671875
600175993,ПГ,56.0,0.875
600176028,ПГ,6.0,0.1
600176224,ПГ,54.97,0.85890625
600176424,ПГ,39.26,0.6134375
600176455,ПГ,78.0,1.21875
600176603,ПГ,117.82,1.8409375
600176588,ПГ,127.0,1.984375
600176837,ПГ,71.0,1.109375
600176861,ПГ,30.02,0.4690625
600177038,ПГ,13.0,0.203125
600177207,ПГ,42.0,0.65625
600177549,ПГ,25.25,0.39453125
600177919,ПГ,0.96,0.1
600178148,ПГ,56.0,0.875
600178518,ПГ,72.0,1.125
600178717,ПГ,74.0,1.15625
600178753,ПГ,226.79,3.54359375
600178793,ПГ,53.13,0.83015625
600178918,ПГ,56.0,0.875
600178987,ПГ,101.12,1.58
600179166,ПГ,48.0,0.75
600179303,ПГ,56.13,0.87703125
600179389,ПГ,1.51,0.1
600179756,ПГ,65.34,1.0209375
600181055,ПГ,70.09,1.09515625
600181119,ПГ,86.8,1.35625
600181796,ПГ,34.76,0.543125
600182361,ПГ,0.3,0.1
600182733,ПГ,59.63,0.93171875
600183007,ПГ,123.69,1.93265625
600184178,ПГ,156.0,2.4375
600184287,ПГ,27.0,0.421875
600184349,ПГ,1.0,0.1
600184685,ПГ,6.42,0.1003125
600185062,ПГ,95.55,1.49296875
600173931,ПГ,82.0,1.28125
600174301,ПГ,52.63,0.82234375
600174333,ПГ,65.0,1.015625
600174533,ПГ,264.0,4.125
600174906,ПГ,130.0,2.03125
600175087,ПГ,91.0,1.421875
600175251,ПГ,275.0,4.296875
600175314,ПГ,44.0,0.6875
600175451,ПГ,13.0,0.203125
600175484,ПГ,5.0,0.1
600175513,ПГ,145.51,2.27359375
600175620,ПГ,52.0,0.8125
600175656,ПГ,101.0,1.578125
600175680,ПГ,35.0,0.546875
600175817,ПГ,6.42,0.1003125
600175842,ПГ,69.0,1.078125
600176019,ПГ,137.0,2.140625
600176050,ПГ,126.28,1.973125
600176232,ПГ,105.0,1.640625
600176263,ПГ,49.0,0.765625
600176456,ПГ,115.0,1.796875
600176630,ПГ,94.39,1.47484375
600176667,ПГ,175.91,2.74859375
600176828,ПГ,55.64,0.869375
600176864,ПГ,150.68,2.354375
600177004,ПГ,24.0,0.375
600177061,ПГ,20.19,0.31546875
600177230,ПГ,105.0,1.640625
600177265,ПГ,24.12,0.376875
600177369,ПГ,248.0,3.875
600177431,ПГ,147.21,2.30015625
600177942,ПГ,121.19,1.89359375
600177997,ПГ,107.0,1.671875
600178342,ПГ,129.34,2.0209375
600178380,ПГ,46.03,0.71921875
600178557,ПГ,32.0,0.5
600178590,ПГ,32.67,0.51046875
600178783,ПГ,132.33,2.06765625
600178815,ПГ,147.39,2.30296875
600178983,ПГ,91.14,1.4240625
600179008,ПГ,70.0,1.09375
600179180,ПГ,62.0,0.96875
600179931,ПГ,53.04,0.82875
600180136,ПГ,40.0,0.625
600180340,ПГ,64.0,1.0
600180507,ПГ,49.21,0.76890625
600173466,ПГ,107.08,1.673125
600173705,ПГ,74.0,1.15625
600173873,ПГ,51.65,0.80703125
600174101,ПГ,45.0,0.703125
600174281,ПГ,37.1,0.5796875
600174306,ПГ,131.56,2.055625
600174442,ПГ,91.0,1.421875
600174474,ПГ,35.0,0.546875
600174509,ПГ,207.0,3.234375
600174677,ПГ,240.94,3.7646875
600175020,ПГ,55.0,0.859375
600175074,ПГ,5.22,0.1
600175259,ПГ,107.0,1.671875
600175422,ПГ,27.0,0.421875
600175460,ПГ,172.13,2.68953125
600175655,ПГ,143.0,2.234375
600175761,ПГ,1.03,0.1
600175826,ПГ,120.08,1.87625
600176003,ПГ,46.65,0.72890625
600176029,ПГ,39.74,0.6209375
600176187,ПГ,116.0,1.8125
600176223,ПГ,44.0,0.6875
600176257,ПГ,33.0,0.515625
600176420,ПГ,63.0,0.984375
600176579,ПГ,103.14,1.6115625
600176647,ПГ,14.0,0.21875
600176783,ПГ,118.85,1.85703125
600176823,ПГ,2.41,0.1
600176961,ПГ,97.0,1.515625
600176983,ПГ,84.0,1.3125
600177020,ПГ,102.02,1.5940625
600177189,ПГ,109.0,1.703125
600177218,ПГ,65.0,1.015625
600177358,ПГ,5.69,0.1
600177387,ПГ,47.21,0.73765625
600177525,ПГ,44.0,0.6875
600177731,ПГ,69.83,1.09109375
600177759,ПГ,57.0,0.890625
600177932,ПГ,33.01,0.51578125
600178102,ПГ,242.0,3.78125
600178135,ПГ,4.19,0.1
600178172,ПГ,4.27,0.1
600178266,ПГ,13.6,0.2125
600178340,ПГ,76.5,1.1953125
600178562,ПГ,7.42,0.1159375
600178731,ПГ,48.0,0.75
600178751,ПГ,34.0,0.53125
600178958,ПГ,28.0,0.4375
600179319,ПГ,184.14,2.8771875
600179353,ПГ,110.85,1.73203125
600179493,ПГ,1.0,0.1
600179715,ПГ,82.0,1.28125
600180156,ПГ,104.0,1.625
600180304,ПГ,41.13,0.64265625
600181275,ПГ,123.76,1.93375
600183522,ПГ,203.23,3.17546875
600184266,ПГ,40.03,0.62546875
600184336,ПГ,19.08,0.298125
600185064,ПГ,43.0,0.671875
600173490,ПГ,190.0,2.96875
600173549,ПГ,101.0,1.578125
600173719,ПГ,82.17,1.28390625
600173925,ПГ,12.39,0.19359375
600174097,ПГ,83.06,1.2978125
600174128,ПГ,123.0,1.921875
600174167,ПГ,24.0,0.375
600174260,ПГ,52.04,0.813125
600174453,ПГ,5.46,0.1
600174504,ПГ,6.78,0.1059375
600174536,ПГ,41.09,0.64203125
600175084,ПГ,9.92,0.155
600175110,ПГ,0.47,0.1
600175284,ПГ,84.01,1.31265625
600175405,ПГ,75.15,1.17421875
600175454,ПГ,32.08,0.50125
600175481,ПГ,106.0,1.65625
600175617,ПГ,102.0,1.59375
600175649,ПГ,17.0,0.265625
600175682,ПГ,8.84,0.138125
600175849,ПГ,61.0,0.953125
600176022,ПГ,175.91,2.74859375
600176056,ПГ,98.74,1.5428125
600176210,ПГ,25.61,0.40015625
600176384,ПГ,211.0,3.296875
600176644,ПГ,28.0,0.4375
600176772,ПГ,165.0,2.578125
600176810,ПГ,123.0,1.921875
600177014,ПГ,57.0,0.890625
600177213,ПГ,15.97,0.24953125
600177405,ПГ,51.0,0.796875
600177552,ПГ,207.2,3.2375
600177575,ПГ,110.41,1.72515625
600177726,ПГ,130.0,2.03125
600177753,ПГ,53.0,0.828125
600177925,ПГ,57.0,0.890625
600177937,ПГ,116.28,1.816875
600178130,ПГ,93.07,1.45421875
600178163,ПГ,148.0,2.3125
600178194,ПГ,195.0,3.046875
600178305,ПГ,83.0,1.296875
600178359,ПГ,81.06,1.2665625
600178559,ПГ,70.58,1.1028125
600178588,ПГ,84.0,1.3125
600178749,ПГ,60.3,0.9421875
600178950,ПГ,69.0,1.078125
600178980,ПГ,63.0,0.984375
600179118,ПГ,88.2,1.378125
600179346,ПГ,86.5,1.3515625
600179373,ПГ,6.0,0.1
600179537,ПГ,74.87,1.16984375
600179582,ПГ,241.54,3.7740625
600179687,ПГ,49.78,0.7778125
600179727,ПГ,135.0,2.109375
600180329,ПГ,183.0,2.859375
600181685,ПГ,175.91,2.74859375
600182070,ПГ,44.0,0.6875
600183786,ПГ,36.05,0.56328125
600184091,ПГ,96.0,1.5
600184320,ПГ,93.4,1.459375
600184550,ПГ,159.0,2.484375
600184708,ПГ,2.0,0.1
600173537,ПГ,66.71,1.04234375
