residents,month,pg_median
1.0,1,6.015430769230769
1.0,2,4.725
1.0,3,5.460000000000001
1.0,4,4.869999999999999
1.0,5,6.783275862068966
1.0,6,5.25
1.0,7,5.99
1.0,8,6.189666666666667
1.0,9,10.382142857142856
1.0,10,5.803166666666667
1.0,11,5.615
1.0,12,5.424833333333334
2.0,1,6.494999999999999
2.0,2,6.01
2.0,3,6.49
2.0,4,7.0600000000000005
2.0,5,6.825
2.0,6,6.375
2.0,7,6.404999999999999
2.0,8,6.798620689655173
2.0,9,6.857327586206896
2.0,10,7.43
2.0,11,6.744827586206895
2.0,12,7.2
3.0,1,7.17
3.0,2,6.47
3.0,3,6.845000000000001
3.0,4,7.313793103448276
3.0,5,7.31
3.0,6,6.43
3.0,7,6.495
3.0,8,7.1
3.0,9,7.1850000000000005
3.0,10,7.62
3.0,11,7.315
3.0,12,7.75
4.0,1,7.6756
4.0,2,7.289999999999999
4.0,3,7.2700000000000005
4.0,4,8.315000000000001
4.0,5,7.884333333333334
4.0,6,6.805
4.0,7,7.095833333333333
4.0,8,8.288833333333333
4.0,9,8.07
4.0,10,8.34
4.0,11,8.224137931034482
4.0,12,8.513166666666667
5.0,5,27.610666666666663
5.0,6,6.1
5.0,7,5.12
5.0,8,2.81
5.0,9,4.390000000000001
