group,month,median_consumption,seasonal_ratio,corr_temp
ПГ,1,6.565,1.1261,-0.0745
ПГ,2,6.32,1.084,-0.0745
ПГ,3,6.745,1.1569,-0.0745
ПГ,4,7.45,1.2779,-0.0745
ПГ,5,6.29,1.0789,-0.0745
ПГ,6,5.83,1.0,-0.0745
ПГ,7,5.83,1.0,-0.0745
ПГ,8,6.46,1.1081,-0.0745
ПГ,9,6.41,1.0995,-0.0745
ПГ,10,7.685,1.3182,-0.0745
ПГ,11,6.61,1.1338,-0.0745
ПГ,12,7.39,1.2676,-0.0745
"ПГ,ВПГ",1,21.085,1.5487,-0.183
"ПГ,ВПГ",2,19.86,1.4587,-0.183
"ПГ,ВПГ",3,21.6,1.5865,-0.183
"ПГ,ВПГ",4,21.58,1.585,-0.183
"ПГ,ВПГ",5,19.16,1.4073,-0.183
"ПГ,ВПГ",6,15.73,1.1553,-0.183
"ПГ,ВПГ",7,13.615,1.0,-0.183
"ПГ,ВПГ",8,13.655,1.0029,-0.183
"ПГ,ВПГ",9,14.14,1.0386,-0.183
"ПГ,ВПГ",10,17.02,1.2501,-0.183
"ПГ,ВПГ",11,17.8,1.3074,-0.183
"ПГ,ВПГ",12,19.89,1.4609,-0.183
