residents,month,vpg_median
1.0,5,23.276390804597703
1.0,6,3.710000000000001
1.0,7,1.0299999999999994
1.0,8,1.475333333333333
1.0,9,0.7789285714285716
2.0,1,15.095000000000002
2.0,2,14.305370370370373
2.0,3,16.07
2.0,4,15.166666666666668
2.0,5,13.996666666666666
2.0,6,8.495000000000001
2.0,7,6.965000000000001
2.0,8,6.971379310344827
2.0,9,8.857672413793104
2.0,10,11.103571428571431
2.0,11,11.410172413793106
2.0,12,13.925
3.0,1,13.959999999999999
3.0,2,13.010000000000002
3.0,3,14.645
3.0,4,13.981206896551724
3.0,5,14.380000000000003
3.0,6,10.490000000000002
3.0,7,8.09
3.0,8,7.905
3.0,9,8.725
3.0,10,10.115862068965516
3.0,11,10.904999999999998
3.0,12,13.330000000000002
4.0,1,16.7044
4.0,2,14.445
4.0,3,17.175
4.0,4,15.184999999999999
4.0,5,18.010488095238095
4.0,6,12.66965517241379
4.0,7,10.324166666666665
4.0,8,8.801166666666667
4.0,9,11.310357142857141
4.0,10,10.629999999999999
4.0,11,12.935862068965518
4.0,12,15.016833333333334
5.0,1,43.74068965517241
5.0,2,35.24068965517241
5.0,3,37.34068965517241
5.0,4,33.62068965517241
5.0,5,0.0
5.0,6,8.200000000000001
5.0,7,3.72
5.0,8,7.615
5.0,9,6.64
5.0,10,26.470689655172418
5.0,11,32.070689655172416
5.0,12,37.52068965517241
